"index","brand","model","mileage","year","fuel_type","ownerCount","accidentCount","transmission","city","state","body_style","engine","drive_train","price"
"7803","Lexus","RX","26127","2019","Gas","1","0","Automatic","Daly City","CA","SUV","3.5L V-6 Gas","FWD","41590"
"7804","GMC","Sierra 1500","25038","2020","Gas","1","0","Automatic","Daly City","CA","Pickup Truck","6.2L V-8 Gas","4WD","54590"
"7805","Nissan","Altima","14607","2020","Gas","1","0","Automatic","Daly City","CA","Sedan","2.0L Inline-4 Gas Turbocharged","FWD","29998"
"7806","Volvo","XC40","19233","2019","Gas","2","0","Automatic","Daly City","CA","SUV","2.0L Inline-4 Gas Turbocharged","AWD","36998"
"7807","Mercedes-Benz","GLE","28052","2020","Gas","3","0","Automatic","Daly City","CA","SUV","2.0L Inline-4 Gas Turbocharged","AWD","55990"
"7808","Honda","Civic","63028","2012","Gas","2","2","Automatic","Fremont","CA","Coupe","1.8L Inline-4 Gas","FWD","13881"
"7809","Toyota","4Runner","71768","2018","Gas","3","0","Automatic","Hayward","CA","SUV","4.0L V-6 Gas","4WD","39555"
"7810","Toyota","Prius","126011","2011","Hybrid","4","2","Automatic","San Jose","CA","Sedan","1.8L Inline-4 Hybrid","FWD","10300"
"7811","Mercedes-Benz","GL","114384","2011","Gas","2","0","Automatic","San Leandro","CA","SUV","4.7L V-8 Gas","AWD","14991"
"7812","Mercedes-Benz","C-Class","59140","2016","Gas","2","0","Automatic","Daly City","CA","Sedan","2.0L Inline-4 Gas Turbocharged","AWD","25998"
"7813","Toyota","RAV4","57039","2018","Gas","2","1","Automatic","Daly City","CA","SUV","2.5L Inline-4 Gas","FWD","25998"
"7814","Lexus","RX","19555","2019","Gas","1","0","Automatic","Daly City","CA","SUV","3.5L V-6 Gas","AWD","46990"
"7815","Toyota","Highlander","31506","2019","Gas","1","0","Automatic","Walnut Creek","CA","SUV","3.5L V-6 Gas","AWD","43500"
"7816","Ford","Mustang","17824","2019","Gas","2","0","Manual","Daly City","CA","Coupe","5.0L V-8 Gas","RWD","34998"
"7817","Toyota","4Runner","51279","2019","Gas","1","0","Automatic","Daly City","CA","SUV","4.0L V-6 Gas","4WD","36990"
"7818","Ford","Fusion","57501","2019","Hybrid","2","0","Automatic","Daly City","CA","Sedan","2.0L Inline-4 Hybrid","FWD","21998"
"7819","Ford","Edge","4065","2018","Gas","1","0","Automatic","Daly City","CA","SUV","2.7L V-6 Gas Turbocharged","AWD","38998"
"7820","Toyota","RAV4","82276","2017","Gas","1","0","Automatic","Hayward","CA","SUV","2.5L Inline-4 Gas","FWD","21999"
"7821","Land Rover","Range Rover Sport","77644","2014","Gas","3","0","Automatic","Hayward","CA","SUV","3.0L V-6 Gas Supercharged","4WD","33999"
"7822","Jeep","Compass","48364","2019","Gas","2","0","Automatic","Daly City","CA","SUV","2.4L Inline-4 Gas","4WD","26998"
"7823","Ford","Explorer","28226","2019","Gas","1","0","Automatic","Colma","CA","SUV","3.5L V-6 Gas Turbocharged","4WD","42991"
"7824","Volkswagen","Passat","74465","2017","Gas","2","0","Automatic","Oakland","CA","Sedan","1.8L Inline-4 Gas Turbocharged","FWD","19295"
"7825","Ford","Fusion","37976","2019","Hybrid","2","0","Automatic","Daly City","CA","Sedan","2.0L Inline-4 Hybrid","FWD","22998"
"7826","Jeep","Wrangler","7582","2021","Plug-In Hybrid","1","0","Automatic","Daly City","CA","SUV","2.0L Inline-4 Plug-In Hybrid Turbocharged","4WD","51998"
"7827","Toyota","Corolla","43129","2019","Gas","2","0","Automatic","Livermore","CA","Sedan","1.8L Inline-4 Gas","FWD","19790"
"7828","BMW","5 Series","78472","2003","Gas","1","0","Automatic","Fremont","CA","Sedan","3.0L Inline-6 Gas","RWD","8999"
"7829","Subaru","Crosstrek","89235","2016","Gas","3","0","Automatic","Hayward","CA","SUV","2.0L Flat-4 Gas","AWD","19999"
"7830","BMW","3 Series","171711","2012","Gas","5","0","Manual","Dublin","CA","Coupe","3.0L Inline-6 Gas","RWD","7595"
"7831","Kia","Soul","77728","2015","Gas","3","0","Automatic","Newark","CA","Hatchback","1.6L Inline-4 Gas","FWD","13470"
